text,label
Should I use mulch in my pineapple field?,DECISION
"In my field, what fertilizer is suitable for pineapple?",INFORMATION
How often is banana usually irrigated during seedling stage?,INFORMATION
"For my farm, should I spray a treatment for the pest affecting my tomato?",DECISION
"In my field, what would be the better option for my tomato under the current conditions?",DECISION
"On my farm, what are common irrigation methods for pepper?",INFORMATION
Should I wait for the rain before irrigating my rice?,DECISION
what are the common pests that affect pepper?,INFORMATION
"For my crop, what nutrients does chilli need during harvesting stage?",INFORMATION
What causes leaf curling in okra?,INFORMATION
"For a farmer in Wayanad, which option is better for improving my pepper yield?",DECISION
"In Kerala, should I use mulch in my brinjal field?",DECISION
"In my field, should I irrigate my chilli today?",DECISION
What soil type is suitable for growing brinjal?,INFORMATION
what would be the better option for my pepper under the current conditions?,DECISION
How often is tapioca usually irrigated during flowering stage?,INFORMATION
"In my field, how can I improve drainage in a field growing brinjal?",INFORMATION
which irrigation method should I use for my chilli?,DECISION
"For my farm, should I apply fertilizer to my rice now?",DECISION
"In my field, which irrigation method should I use for my pepper?",DECISION
"For my crop, should I improve drainage in my pepper field?",DECISION
"For my crop, should I plant brinjal now or wait for better weather?",DECISION
"For my farm, what are the signs of nitrogen deficiency in pineapple?",INFORMATION
"In my field, which fertilizer should I choose for my pepper?",DECISION
Should I take action immediately for my tomato problem?,DECISION
"For my crop, what soil type is suitable for growing brinjal?",INFORMATION
"In my field, what is the best time to plant tapioca in Kerala?",INFORMATION
"On my farm, what are the common diseases affecting pepper?",INFORMATION
"For my farm, how often is banana usually irrigated during fruiting stage?",INFORMATION
Should I plant coconut now or wait for better weather?,DECISION
"On my farm, what causes yellow leaves in banana?",INFORMATION
"In Kerala, what is the best time to plant rice in Kerala?",INFORMATION
"In Kerala, should I apply an organic manure treatment to my coconut?",DECISION
What would be the better option for my banana under the current conditions?,DECISION
"For a farmer in Wayanad, what are the important growth stages of rice?",INFORMATION
"In my field, what causes yellow leaves in tomato?",INFORMATION
"In my field, should I use mulch in my tapioca field?",DECISION
"For a farmer in Wayanad, should I improve drainage in my pepper field?",DECISION
"In Kerala, what are the important growth stages of chilli?",INFORMATION
"On my farm, which irrigation method should I use for my banana?",DECISION
"In my field, what are the common pests that affect chilli?",INFORMATION
what are common irrigation methods for pineapple?,INFORMATION
"In my field, how does excess rainfall affect pepper?",INFORMATION
"In Kerala, what should I do if my okra is showing yellow leaves?",DECISION
"In Kerala, should I wait for the rain before irrigating my pepper?",DECISION
"For a farmer in Wayanad, what is the best time to plant pepper in Kerala?",INFORMATION
what soil type is suitable for growing coconut?,INFORMATION
What soil type is suitable for growing pepper?,INFORMATION
should I plant brinjal now or wait for better weather?,DECISION
How often is rice usually irrigated during seedling stage?,INFORMATION
What is the best time to plant chilli in Kerala?,INFORMATION
what are the benefits of mulching for okra?,INFORMATION
"For my farm, should I wait for the rain before irrigating my rice?",DECISION
How does excess rainfall affect tapioca?,INFORMATION
what fertilizer is suitable for pineapple?,INFORMATION
"For my farm, what are the common pests that affect pepper?",INFORMATION
What is the ideal soil pH for chilli cultivation?,INFORMATION
"On my farm, should I apply an organic manure treatment to my tapioca?",DECISION
Which option is better for improving my brinjal yield?,DECISION
"For my farm, what precautions should I take during heavy rainfall for banana?",INFORMATION
should I take action immediately for my okra problem?,DECISION
"On my farm, what causes leaf curling in pineapple?",INFORMATION
What are common irrigation methods for tapioca?,INFORMATION
how does excess rainfall affect pepper?,INFORMATION
"For my crop, what are the benefits of mulching for rice?",INFORMATION
what is the ideal soil pH for pineapple cultivation?,INFORMATION
"In my field, what should I do about my tomato after heavy rainfall?",DECISION
"On my farm, what are the benefits of organic manure for banana?",INFORMATION
"In Kerala, should I change my irrigation schedule for coconut?",DECISION
"For my crop, which option is better for improving my pineapple yield?",DECISION
what are common irrigation methods for banana?,INFORMATION
"On my farm, should I harvest my tapioca now or wait?",DECISION
"On my farm, what are the signs of nitrogen deficiency in tomato?",INFORMATION
"For my crop, what precautions should I take during heavy rainfall for rice?",INFORMATION
"In Kerala, should I spray a treatment for the pest affecting my brinjal?",DECISION
Which irrigation method should I use for my tapioca?,DECISION
"For a farmer in Wayanad, what are the symptoms of potassium deficiency in pepper?",INFORMATION
"For a farmer in Wayanad, what are the benefits of organic manure for tomato?",INFORMATION
"For a farmer in Wayanad, what nutrients does tapioca need during flowering stage?",INFORMATION
What nutrients does tomato need during seedling stage?,INFORMATION
"In Kerala, should I sell my tomato now or wait for better prices?",DECISION
"For my crop, what fertilizer is suitable for brinjal?",INFORMATION
What are the benefits of organic manure for tapioca?,INFORMATION
"For my farm, how can I improve drainage in a field growing brinjal?",INFORMATION
"For my crop, what are the symptoms of potassium deficiency in rice?",INFORMATION
What are the common diseases affecting okra?,INFORMATION
What are the important growth stages of pineapple?,INFORMATION
What is drip irrigation and how does it work for tapioca?,INFORMATION
"In my field, which irrigation method should I use for my tomato?",DECISION
"In Kerala, what causes yellow leaves in tapioca?",INFORMATION
What is the best time to plant okra in Kerala?,INFORMATION
"For a farmer in Wayanad, how often is pepper usually irrigated during flowering stage?",INFORMATION
"For a farmer in Wayanad, what are the signs of nitrogen deficiency in tapioca?",INFORMATION
"For my farm, what should I do if my pepper is showing yellow leaves?",DECISION
"On my farm, which option is better for improving my okra yield?",DECISION
what fertilizer is suitable for chilli?,INFORMATION
"In Kerala, should I change my irrigation schedule for brinjal?",DECISION
"In Kerala, should I apply fertilizer to my coconut now?",DECISION
"In my field, what are the signs of nitrogen deficiency in pineapple?",INFORMATION
"For a farmer in Wayanad, what would be the better option for my rice under the current conditions?",DECISION
What are the signs of nitrogen deficiency in brinjal?,INFORMATION
"For my crop, what are the signs of nitrogen deficiency in banana?",INFORMATION
"On my farm, how often is banana usually irrigated during vegetative stage?",INFORMATION
"On my farm, which fertilizer should I choose for my tapioca?",DECISION
"On my farm, what fertilizer is suitable for okra?",INFORMATION
"For my farm, what should I do about my pepper after heavy rainfall?",DECISION
"In Kerala, what is the ideal soil pH for banana cultivation?",INFORMATION
"In my field, which fertilizer should I choose for my okra?",DECISION
"On my farm, should I apply an organic manure treatment to my okra?",DECISION
what fertilizer is suitable for tapioca?,INFORMATION
"In Kerala, what are the benefits of organic manure for banana?",INFORMATION
What are the important growth stages of okra?,INFORMATION
should I harvest my okra now or wait?,DECISION
"In my field, which fertilizer should I choose for my banana?",DECISION
"In my field, should I take action immediately for my tapioca problem?",DECISION
Should I irrigate my pepper today?,DECISION
"In Kerala, should I wait for the rain before irrigating my coconut?",DECISION
"In Kerala, should I spray a treatment for the pest affecting my rice?",DECISION
"In my field, should I improve drainage in my coconut field?",DECISION
should I apply fertilizer to my banana now?,DECISION
What should I do if my tomato is showing yellow leaves?,DECISION
"In my field, what are the benefits of mulching for pepper?",INFORMATION
should I irrigate my pineapple today?,DECISION
should I apply fertilizer to my tapioca now?,DECISION
What are the important growth stages of rice?,INFORMATION
"For my farm, should I plant chilli now or wait for better weather?",DECISION
"On my farm, should I apply fertilizer to my tapioca now?",DECISION
"On my farm, what precautions should I take during heavy rainfall for tomato?",INFORMATION
What are the benefits of organic manure for chilli?,INFORMATION
How can I improve drainage in a field growing coconut?,INFORMATION
"For my crop, should I apply fertilizer to my chilli now?",DECISION
what should I do if my chilli is showing yellow leaves?,DECISION
"On my farm, should I apply fertilizer to my banana now?",DECISION
"In Kerala, what are the common diseases affecting tomato?",INFORMATION
"In Kerala, should I improve drainage in my chilli field?",DECISION
"In Kerala, what are the symptoms of potassium deficiency in coconut?",INFORMATION
"In my field, which irrigation method should I use for my banana?",DECISION
"For my farm, which option is better for improving my banana yield?",DECISION
"For my crop, what fertilizer is suitable for tapioca?",INFORMATION
"For my farm, what are the benefits of organic manure for tomato?",INFORMATION
"For my farm, what are the common pests that affect coconut?",INFORMATION
Should I apply an organic manure treatment to my chilli?,DECISION
what are the common diseases affecting banana?,INFORMATION
"For my farm, should I plant rice now or wait for better weather?",DECISION
"For my farm, should I increase irrigation because the soil is dry?",DECISION
"On my farm, how can I improve drainage in a field growing okra?",INFORMATION
what are the signs of nitrogen deficiency in pineapple?,INFORMATION
"For a farmer in Wayanad, should I improve drainage in my rice field?",DECISION
should I use mulch in my rice field?,DECISION
"In my field, should I wait for the rain before irrigating my chilli?",DECISION
What would be the better option for my coconut under the current conditions?,DECISION
Should I change my irrigation schedule for brinjal?,DECISION
What is the best time to plant pepper in Kerala?,INFORMATION
"For my crop, what are the benefits of mulching for coconut?",INFORMATION
"On my farm, what soil type is suitable for growing tapioca?",INFORMATION
"In Kerala, what are the benefits of mulching for okra?",INFORMATION
"In my field, should I plant okra now or wait for better weather?",DECISION
"In Kerala, what is the best time to plant coconut in Kerala?",INFORMATION
What should I do about my tomato after heavy rainfall?,DECISION
"For a farmer in Wayanad, what would be the better option for my tapioca under the current conditions?",DECISION
"For a farmer in Wayanad, what are common irrigation methods for tapioca?",INFORMATION
"For my farm, which fertilizer should I choose for my pineapple?",DECISION
"On my farm, what are common irrigation methods for pineapple?",INFORMATION
What should I do if my tapioca is showing yellow leaves?,DECISION
How does excess rainfall affect tomato?,INFORMATION
should I wait for the rain before irrigating my chilli?,DECISION
What are the benefits of organic manure for pepper?,INFORMATION
"On my farm, how does excess rainfall affect pineapple?",INFORMATION
"On my farm, how can I improve drainage in a field growing brinjal?",INFORMATION
"For my crop, what fertilizer is suitable for chilli?",INFORMATION
"In Kerala, what are the benefits of mulching for pineapple?",INFORMATION
"For a farmer in Wayanad, what soil type is suitable for growing banana?",INFORMATION
"For my crop, should I irrigate my chilli today?",DECISION
which irrigation method should I use for my tapioca?,DECISION
should I wait for the rain before irrigating my brinjal?,DECISION
"For a farmer in Wayanad, what are the important growth stages of coconut?",INFORMATION
What nutrients does banana need during seedling stage?,INFORMATION
"In Kerala, how often is banana usually irrigated during flowering stage?",INFORMATION
"For my crop, should I spray a treatment for the pest affecting my pepper?",DECISION
"For my crop, should I sell my brinjal now or wait for better prices?",DECISION
How often is brinjal usually irrigated during seedling stage?,INFORMATION
"For my farm, what is the best time to plant banana in Kerala?",INFORMATION
Which option is better for improving my pineapple yield?,DECISION
What nutrients does okra need during harvesting stage?,INFORMATION
What fertilizer is suitable for rice?,INFORMATION
Should I harvest my pineapple now or wait?,DECISION
"On my farm, what precautions should I take during heavy rainfall for brinjal?",INFORMATION
"In my field, what are the common diseases affecting brinjal?",INFORMATION
"For my farm, should I improve drainage in my banana field?",DECISION
"For a farmer in Wayanad, should I reduce irrigation because of the rain?",DECISION
"For my crop, how does excess rainfall affect banana?",INFORMATION
"On my farm, should I sell my pineapple now or wait for better prices?",DECISION
"On my farm, what are the common pests that affect banana?",INFORMATION
"For my farm, should I take action immediately for my okra problem?",DECISION
What are the benefits of mulching for chilli?,INFORMATION
"In Kerala, should I apply fertilizer to my okra now?",DECISION
"For a farmer in Wayanad, should I plant banana now or wait for better weather?",DECISION
"For my crop, what are the important growth stages of tomato?",INFORMATION
"In Kerala, should I improve drainage in my pepper field?",DECISION
what are the important growth stages of okra?,INFORMATION
"In my field, what should I do about my chilli after heavy rainfall?",DECISION
What should I do if my rice is showing yellow leaves?,DECISION
What should I do if my pepper is showing yellow leaves?,DECISION
"For my farm, what fertilizer is suitable for tomato?",INFORMATION
what is the ideal soil pH for rice cultivation?,INFORMATION
"In Kerala, which option is better for improving my pepper yield?",DECISION
which fertilizer should I choose for my brinjal?,DECISION
"In Kerala, what are the common pests that affect pineapple?",INFORMATION
"In my field, should I apply an organic manure treatment to my tapioca?",DECISION
what is drip irrigation and how does it work for tapioca?,INFORMATION
Should I plant okra now or wait for better weather?,DECISION
what nutrients does tapioca need during fruiting stage?,INFORMATION
"On my farm, what are the common pests that affect okra?",INFORMATION
What are common irrigation methods for rice?,INFORMATION
"In Kerala, what is the ideal soil pH for rice cultivation?",INFORMATION
"In Kerala, what should I do about my okra after heavy rainfall?",DECISION
"In my field, what is drip irrigation and how does it work for pineapple?",INFORMATION
"For a farmer in Wayanad, should I sell my banana now or wait for better prices?",DECISION
What are the common pests that affect tomato?,INFORMATION
should I irrigate my tomato today?,DECISION
What soil type is suitable for growing rice?,INFORMATION
"In Kerala, what are common irrigation methods for banana?",INFORMATION
"In Kerala, should I take action immediately for my brinjal problem?",DECISION
"In Kerala, what causes leaf curling in chilli?",INFORMATION
"In Kerala, should I harvest my tomato now or wait?",DECISION
"For a farmer in Wayanad, what are the common pests that affect rice?",INFORMATION
"For my farm, should I wait for the rain before irrigating my coconut?",DECISION
"For my crop, what are the common diseases affecting tapioca?",INFORMATION
"In Kerala, what precautions should I take during heavy rainfall for chilli?",INFORMATION
"For my farm, should I apply fertilizer to my pineapple now?",DECISION
should I plant pepper now or wait for better weather?,DECISION
"In Kerala, what would be the better option for my rice under the current conditions?",DECISION
"In my field, what should I do about my rice after heavy rainfall?",DECISION
"For a farmer in Wayanad, what are the common diseases affecting brinjal?",INFORMATION
"For my crop, how often is pineapple usually irrigated during harvesting stage?",INFORMATION
"On my farm, what nutrients does pineapple need during fruiting stage?",INFORMATION
what is the best time to plant rice in Kerala?,INFORMATION
What are the benefits of organic manure for banana?,INFORMATION
"For a farmer in Wayanad, what is the best time to plant okra in Kerala?",INFORMATION
"In Kerala, what nutrients does pepper need during vegetative stage?",INFORMATION
should I wait for the rain before irrigating my rice?,DECISION
"In my field, should I spray a treatment for the pest affecting my tapioca?",DECISION
"In Kerala, what are the signs of nitrogen deficiency in pineapple?",INFORMATION
"On my farm, should I change my irrigation schedule for banana?",DECISION
"On my farm, should I use mulch in my rice field?",DECISION
"For a farmer in Wayanad, how can I improve drainage in a field growing coconut?",INFORMATION
what fertilizer is suitable for banana?,INFORMATION
what are the common pests that affect coconut?,INFORMATION
Should I use mulch in my banana field?,DECISION
"For my crop, should I apply an organic manure treatment to my brinjal?",DECISION
"In my field, what fertilizer is suitable for pepper?",INFORMATION
Should I improve drainage in my okra field?,DECISION
What nutrients does tapioca need during vegetative stage?,INFORMATION
How often is coconut usually irrigated during fruiting stage?,INFORMATION
What are the signs of nitrogen deficiency in tapioca?,INFORMATION
"For my crop, should I apply fertilizer to my pepper now?",DECISION
"On my farm, should I spray a treatment for the pest affecting my okra?",DECISION
How can I improve drainage in a field growing tomato?,INFORMATION
should I harvest my brinjal now or wait?,DECISION
"For my crop, should I spray a treatment for the pest affecting my banana?",DECISION
"In my field, what should I do about my banana after heavy rainfall?",DECISION
What nutrients does rice need during harvesting stage?,INFORMATION
How often is okra usually irrigated during fruiting stage?,INFORMATION
"For my crop, what are the signs of nitrogen deficiency in chilli?",INFORMATION
"For my farm, what are the symptoms of potassium deficiency in tomato?",INFORMATION
Should I take action immediately for my pepper problem?,DECISION
"On my farm, what is the ideal soil pH for tapioca cultivation?",INFORMATION
"In my field, what causes yellow leaves in pineapple?",INFORMATION
"For a farmer in Wayanad, should I change my irrigation schedule for okra?",DECISION
"In Kerala, what are the symptoms of potassium deficiency in pineapple?",INFORMATION
"In my field, what nutrients does chilli need during flowering stage?",INFORMATION
"For a farmer in Wayanad, should I harvest my pineapple now or wait?",DECISION
"In my field, what are the symptoms of potassium deficiency in pepper?",INFORMATION
"In my field, should I plant tomato now or wait for better weather?",DECISION
"For my farm, should I spray a treatment for the pest affecting my okra?",DECISION
"In my field, should I wait for the rain before irrigating my pineapple?",DECISION
should I use mulch in my coconut field?,DECISION
"For my farm, what are the common pests that affect banana?",INFORMATION
"In Kerala, should I irrigate my rice today?",DECISION
"For my farm, which fertilizer should I choose for my chilli?",DECISION
"For a farmer in Wayanad, which fertilizer should I choose for my tomato?",DECISION
"For my crop, should I increase irrigation because the soil is dry?",DECISION
Should I improve drainage in my tapioca field?,DECISION
"For my farm, how can I improve drainage in a field growing tapioca?",INFORMATION
"In my field, what are the common pests that affect tapioca?",INFORMATION
"In my field, what are the common diseases affecting pineapple?",INFORMATION
"For a farmer in Wayanad, should I use mulch in my brinjal field?",DECISION
"For my farm, what should I do about my tomato after heavy rainfall?",DECISION
what are the symptoms of potassium deficiency in coconut?,INFORMATION
"On my farm, what are the symptoms of potassium deficiency in okra?",INFORMATION
"In Kerala, should I use mulch in my tomato field?",DECISION
"For my crop, which irrigation method should I use for my pineapple?",DECISION
What are common irrigation methods for okra?,INFORMATION
"On my farm, what are the common pests that affect tomato?",INFORMATION
"For my crop, how does excess rainfall affect rice?",INFORMATION
should I take action immediately for my tapioca problem?,DECISION
"For my farm, what is the best time to plant tapioca in Kerala?",INFORMATION
"For my farm, what should I do about my banana after heavy rainfall?",DECISION
"For my farm, what are the common diseases affecting tapioca?",INFORMATION
"In my field, what are common irrigation methods for chilli?",INFORMATION
"In my field, what should I do about my coconut after heavy rainfall?",DECISION
"In Kerala, should I spray a treatment for the pest affecting my pepper?",DECISION
"For a farmer in Wayanad, which irrigation method should I use for my banana?",DECISION
"For my crop, how can I improve drainage in a field growing pepper?",INFORMATION
"For my crop, which fertilizer should I choose for my pineapple?",DECISION
Should I wait for the rain before irrigating my brinjal?,DECISION
"In Kerala, should I take action immediately for my tapioca problem?",DECISION
"For my crop, should I sell my rice now or wait for better prices?",DECISION
"For my farm, should I sell my pepper now or wait for better prices?",DECISION
"For my crop, what is the best time to plant tomato in Kerala?",INFORMATION
How often is coconut usually irrigated during seedling stage?,INFORMATION
"In Kerala, which fertilizer should I choose for my tapioca?",DECISION
Should I sell my tomato now or wait for better prices?,DECISION
"In Kerala, should I take action immediately for my tomato problem?",DECISION
"In Kerala, should I wait for the rain before irrigating my chilli?",DECISION
"In Kerala, what precautions should I take during heavy rainfall for tapioca?",INFORMATION
What nutrients does pineapple need during seedling stage?,INFORMATION
What should I do if my brinjal is showing yellow leaves?,DECISION
"In my field, what precautions should I take during heavy rainfall for banana?",INFORMATION
Should I irrigate my banana today?,DECISION
"On my farm, should I apply an organic manure treatment to my coconut?",DECISION
"For my farm, what are common irrigation methods for pineapple?",INFORMATION
"For my crop, what are the important growth stages of okra?",INFORMATION
"On my farm, what are the signs of nitrogen deficiency in pepper?",INFORMATION
What fertilizer is suitable for okra?,INFORMATION
how often is pepper usually irrigated during seedling stage?,INFORMATION
"In Kerala, what are the important growth stages of tomato?",INFORMATION
"For my crop, what causes leaf curling in coconut?",INFORMATION
"For my farm, what is the ideal soil pH for okra cultivation?",INFORMATION
"In my field, how often is chilli usually irrigated during fruiting stage?",INFORMATION
How often is coconut usually irrigated during harvesting stage?,INFORMATION
"In my field, should I harvest my rice now or wait?",DECISION
Should I harvest my pepper now or wait?,DECISION
What fertilizer is suitable for coconut?,INFORMATION
What is drip irrigation and how does it work for rice?,INFORMATION
What are the common pests that affect chilli?,INFORMATION
"On my farm, what is the ideal soil pH for pineapple cultivation?",INFORMATION
"For my farm, what are the benefits of mulching for banana?",INFORMATION
"For my crop, what should I do about my brinjal after heavy rainfall?",DECISION
"In my field, what are the signs of nitrogen deficiency in tomato?",INFORMATION
"For a farmer in Wayanad, what would be the better option for my pepper under the current conditions?",DECISION
what precautions should I take during heavy rainfall for pepper?,INFORMATION
"For my crop, what causes leaf curling in tomato?",INFORMATION
"For a farmer in Wayanad, what should I do if my tapioca is showing yellow leaves?",DECISION
"For my farm, should I use mulch in my tapioca field?",DECISION
What are the important growth stages of chilli?,INFORMATION
"In Kerala, how often is tomato usually irrigated during flowering stage?",INFORMATION
"For a farmer in Wayanad, should I apply fertilizer to my banana now?",DECISION
"For my farm, should I spray a treatment for the pest affecting my tapioca?",DECISION
"In Kerala, what are the signs of nitrogen deficiency in tomato?",INFORMATION
How often is banana usually irrigated during fruiting stage?,INFORMATION
"In my field, what soil type is suitable for growing pineapple?",INFORMATION
"In Kerala, should I spray a treatment for the pest affecting my okra?",DECISION
what precautions should I take during heavy rainfall for chilli?,INFORMATION
"In my field, should I improve drainage in my pepper field?",DECISION
"For my crop, should I take action immediately for my chilli problem?",DECISION
"In Kerala, should I increase irrigation because the soil is dry?",DECISION
Should I use mulch in my tomato field?,DECISION
"For my crop, what is the best time to plant coconut in Kerala?",INFORMATION
how does excess rainfall affect chilli?,INFORMATION
"On my farm, should I sell my brinjal now or wait for better prices?",DECISION
"For a farmer in Wayanad, should I apply fertilizer to my brinjal now?",DECISION
what should I do if my pepper is showing yellow leaves?,DECISION
Which irrigation method should I use for my pepper?,DECISION
what is the best time to plant coconut in Kerala?,INFORMATION
"For a farmer in Wayanad, should I improve drainage in my brinjal field?",DECISION
"On my farm, should I take action immediately for my tapioca problem?",DECISION
"In my field, what is drip irrigation and how does it work for chilli?",INFORMATION
"For a farmer in Wayanad, what should I do about my coconut after heavy rainfall?",DECISION
"On my farm, what soil type is suitable for growing chilli?",INFORMATION
"For my farm, what soil type is suitable for growing pepper?",INFORMATION
"In Kerala, what precautions should I take during heavy rainfall for okra?",INFORMATION
"On my farm, what precautions should I take during heavy rainfall for rice?",INFORMATION
What are common irrigation methods for tomato?,INFORMATION
"For my farm, what causes yellow leaves in brinjal?",INFORMATION
Which irrigation method should I use for my brinjal?,DECISION
"In Kerala, what would be the better option for my banana under the current conditions?",DECISION
Should I plant tomato now or wait for better weather?,DECISION
"For a farmer in Wayanad, what causes yellow leaves in pepper?",INFORMATION
"For a farmer in Wayanad, what is the best time to plant banana in Kerala?",INFORMATION
"On my farm, should I use mulch in my coconut field?",DECISION
what are the common diseases affecting rice?,INFORMATION
what causes leaf curling in rice?,INFORMATION
What are the common pests that affect banana?,INFORMATION
"On my farm, should I plant banana now or wait for better weather?",DECISION
"For my farm, what nutrients does brinjal need during vegetative stage?",INFORMATION
"On my farm, what precautions should I take during heavy rainfall for coconut?",INFORMATION
"On my farm, should I harvest my banana now or wait?",DECISION
"For a farmer in Wayanad, what would be the better option for my chilli under the current conditions?",DECISION
"For my crop, should I use mulch in my chilli field?",DECISION
"For my crop, what are the benefits of mulching for chilli?",INFORMATION
"In Kerala, what fertilizer is suitable for pineapple?",INFORMATION
"On my farm, should I harvest my rice now or wait?",DECISION
"For my crop, should I harvest my chilli now or wait?",DECISION
should I change my irrigation schedule for okra?,DECISION
"For my crop, should I sell my chilli now or wait for better prices?",DECISION
"For my farm, which irrigation method should I use for my okra?",DECISION
"In Kerala, which option is better for improving my chilli yield?",DECISION
what are the important growth stages of brinjal?,INFORMATION
"On my farm, should I sell my okra now or wait for better prices?",DECISION
"On my farm, should I irrigate my banana today?",DECISION
"On my farm, what is the ideal soil pH for chilli cultivation?",INFORMATION
"On my farm, what is the best time to plant chilli in Kerala?",INFORMATION
"On my farm, should I irrigate my pepper today?",DECISION
what are the benefits of mulching for pepper?,INFORMATION
"For a farmer in Wayanad, what is the ideal soil pH for pepper cultivation?",INFORMATION
"In Kerala, what are the signs of nitrogen deficiency in tapioca?",INFORMATION
"In Kerala, should I apply fertilizer to my pepper now?",DECISION
what are the common diseases affecting tapioca?,INFORMATION
"In my field, should I improve drainage in my banana field?",DECISION
"For my crop, what precautions should I take during heavy rainfall for chilli?",INFORMATION
"In Kerala, what causes yellow leaves in tomato?",INFORMATION
"For my crop, should I take action immediately for my okra problem?",DECISION
"For my crop, what nutrients does rice need during flowering stage?",INFORMATION
"In my field, what should I do if my tapioca is showing yellow leaves?",DECISION
How often is pepper usually irrigated during flowering stage?,INFORMATION
"On my farm, should I spray a treatment for the pest affecting my tapioca?",DECISION
"In Kerala, what is drip irrigation and how does it work for tapioca?",INFORMATION
"For a farmer in Wayanad, should I apply an organic manure treatment to my banana?",DECISION
"For my crop, should I take action immediately for my pineapple problem?",DECISION
"For a farmer in Wayanad, should I plant brinjal now or wait for better weather?",DECISION
what are common irrigation methods for tomato?,INFORMATION
What precautions should I take during heavy rainfall for chilli?,INFORMATION
Should I sell my coconut now or wait for better prices?,DECISION
"For my crop, what is drip irrigation and how does it work for rice?",INFORMATION
What nutrients does tapioca need during seedling stage?,INFORMATION
"For my farm, should I improve drainage in my pineapple field?",DECISION
"For a farmer in Wayanad, which fertilizer should I choose for my pepper?",DECISION
